,Latitude,Longitude,StopName,StopStatus,VehDistAlongRoute,VehicleRef
0,40.696318,-73.941015,MYRTLE AV/MARCUS GARVEY BL,at stop,4261.01,3972
1,40.696951,-73.935516,MYRTLE AV/BROADWAY,at stop,4729.87,4043
2,40.693858,-73.96242,MYRTLE AV/CLASSON AV,approaching,2435.73,6585
0,40.696325,-73.940951,MYRTLE AV/MARCUS GARVEY BL,at stop,4266.46,3972
1,40.694041,-73.960829,MYRTLE AV/CLASSON AV,at stop,2571.41,6585
2,40.696951,-73.935516,MYRTLE AV/BROADWAY,at stop,4729.87,4043
0,40.694041,-73.960829,MYRTLE AV/CLASSON AV,at stop,2571.41,6585
1,40.697186,-73.933368,MYRTLE AV/BUSHWICK AV,approaching,4912.83,4043
2,40.696553,-73.938967,MYRTLE AV/LEWIS AV,approaching,4435.6,3972
0,40.694044,-73.960799,MYRTLE AV/CLASSON AV,at stop,2574.02,6585
1,40.697315,-73.932251,MYRTLE AV/BUSHWICK AV,approaching,5008.13,4043
2,40.696881,-73.936123,MYRTLE AV/BROADWAY,approaching,4678.16,3972
0,40.696914,-73.935835,MYRTLE AV/BROADWAY,approaching,4702.65,3972
1,40.697475,-73.930824,MYRTLE AV/EVERGREEN AV,approaching,5129.74,4043
2,40.6941,-73.960308,MYRTLE AV/FRANKLIN AV,< 1 stop away,2615.87,6585
0,40.696955,-73.935484,MYRTLE AV/BROADWAY,at stop,4732.59,3972
1,40.694356,-73.958067,MYRTLE AV/FRANKLIN AV,approaching,2806.9199999999996,6585
2,40.697686,-73.928916,MYRTLE AV/HART ST,approaching,5292.29,4043
3,40.694937,-73.987163,TILLARY ST/JAY ST,approaching,48.129999999999995,4060
0,40.694402,-73.957668,MYRTLE AV/FRANKLIN AV,at stop,2840.95,6585
1,40.696955,-73.935484,MYRTLE AV/BROADWAY,at stop,4732.59,3972
2,40.698013,-73.925927,MYRTLE AV/DE KALB AV,at stop,5546.92,4043
3,40.695214,-73.98715,TILLARY ST/JAY ST,approaching,79.03,4060
0,40.696955,-73.935484,MYRTLE AV/BROADWAY,at stop,4732.59,3972
1,40.698115,-73.925034,MYRTLE AV/STOCKHOLM ST,approaching,5623.04,4043
2,40.694449,-73.957269,MYRTLE AV/SPENCER ST,< 1 stop away,2874.9700000000003,6585
3,40.696014,-73.986443,MYRTLE AV/FLEET PL,< 1 stop away,226.92000000000007,4060
0,40.69466,-73.955427,MYRTLE AV/SPENCER ST,at stop,3032.05,6585
1,40.696955,-73.935484,MYRTLE AV/BROADWAY,at stop,4732.59,3972
2,40.698311,-73.923117,MYRTLE AV/WILSON AV,< 1 stop away,5786.12,4043
3,40.695968,-73.985087,MYRTLE AV/FLEET PL,< 1 stop away,341.39000000000004,4060
0,40.69482,-73.954045,MYRTLE AV/WALWORTH ST,at stop,3149.89,6585
1,40.696955,-73.935484,MYRTLE AV/BROADWAY,at stop,4732.59,3972
2,40.698418,-73.922084,MYRTLE AV/WILSON AV,approaching,5874.04,4043
3,40.695966,-73.985046,MYRTLE AV/FLEET PL,< 1 stop away,344.86000000000007,4060
0,40.694931,-73.953091,MYRTLE AV/NOSTRAND AV,approaching,3231.3,6585
1,40.698422,-73.922039,MYRTLE AV/WILSON AV,approaching,5877.86,4043
2,40.697093,-73.934219,MYRTLE AV/BUSHWICK AV,< 1 stop away,4840.4,3972
3,40.695955,-73.984758,MYRTLE AV/FLEET PL,< 1 stop away,369.14000000000004,4060
0,40.698521,-73.921095,MYRTLE AV/WILSON AV,at stop,5958.13,4043
1,40.694961,-73.952844,MYRTLE AV/NOSTRAND AV,at stop,3252.33,6585
2,40.697262,-73.932697,MYRTLE AV/BUSHWICK AV,approaching,4970.01,3972
3,40.695083,-73.984139,MYRTLE AV/FLEET PL,< 1 stop away,487.08000000000004,4060
0,40.6976,-73.929665,MYRTLE AV/EVERGREEN AV,at stop,5228.389999999999,3972
1,40.694957,-73.952875,MYRTLE AV/NOSTRAND AV,at stop,3249.7000000000003,6585
2,40.698603,-73.9203,MYRTLE AV/KNICKERBOCKER AV,< 1 stop away,6025.8099999999995,4043
3,40.6938,-73.983496,MYRTLE AV/FLEET PL,< 1 stop away,639.7,4060
0,40.6976,-73.929665,MYRTLE AV/EVERGREEN AV,at stop,5228.389999999999,3972
1,40.694957,-73.952875,MYRTLE AV/NOSTRAND AV,at stop,3249.7000000000003,6585
2,40.698603,-73.9203,MYRTLE AV/KNICKERBOCKER AV,< 1 stop away,6025.8099999999995,4043
3,40.6938,-73.983496,MYRTLE AV/FLEET PL,< 1 stop away,639.7,4060
0,40.698788,-73.918533,MYRTLE AV/KNICKERBOCKER AV,at stop,6176.219999999999,4043
1,40.69519,-73.950848,MYRTLE AV/MARCY AV,approaching,3422.5699999999997,6585
2,40.697665,-73.929091,MYRTLE AV/HART ST,approaching,5277.339999999999,3972
3,40.6938,-73.983496,MYRTLE AV/FLEET PL,< 1 stop away,639.7,4060
0,40.695349,-73.949446,MYRTLE AV/MARCY AV,at stop,3542.0899999999997,6585
1,40.698784,-73.918577,MYRTLE AV/KNICKERBOCKER AV,at stop,6172.46,4043
2,40.697985,-73.926199,MYRTLE AV/DE KALB AV,approaching,5523.740000000001,3972
3,40.693602,-73.982233,MYRTLE AV/FLEET PL,approaching,757.6300000000001,4060
0,40.698255,-73.923656,MYRTLE AV/STOCKHOLM ST,at stop,5740.26,3972
1,40.695349,-73.949446,MYRTLE AV/MARCY AV,at stop,3542.0899999999997,6585
2,40.693571,-73.98137,MYRTLE AV/ASHLAND PL,< 1 stop away,830.4200000000001,4060
3,40.698807,-73.918354,MYRTLE AV/MENAHAN ST,< 1 stop away,6191.38,4043
0,40.698464,-73.921634,MYRTLE AV/WILSON AV,approaching,5912.26,3972
1,40.695598,-73.947275,MYRTLE AV/TOMPKINS AV,approaching,3727.21,6585
2,40.698904,-73.917411,MYRTLE AV/MENAHAN ST,approaching,6271.65,4043
3,40.693568,-73.981289,MYRTLE AV/ASHLAND PL,< 1 stop away,837.32,4060
0,40.695676,-73.946604,MYRTLE AV/TOMPKINS AV,at stop,3784.38,6585
1,40.6935,-73.979491,MYRTLE AV/ASHLAND PL,at stop,989.0300000000001,4060
2,40.698589,-73.920432,MYRTLE AV/KNICKERBOCKER AV,< 1 stop away,6014.53,3972
3,40.699128,-73.915264,GATES AV/WYCKOFF AV,< 1 stop away,6454.37,4043
0,40.693497,-73.97941,MYRTLE AV/ASHLAND PL,at stop,995.9200000000001,4060
1,40.695676,-73.946604,MYRTLE AV/TOMPKINS AV,at stop,3784.38,6585
2,40.698589,-73.920432,MYRTLE AV/KNICKERBOCKER AV,< 1 stop away,6014.53,3972
3,40.699151,-73.915043,GATES AV/WYCKOFF AV,< 1 stop away,6473.17,4043
0,40.695676,-73.946604,MYRTLE AV/TOMPKINS AV,at stop,3784.38,6585
1,40.698705,-73.919328,MYRTLE AV/KNICKERBOCKER AV,approaching,6108.54,3972
2,40.693469,-73.978675,MYRTLE AV/ST EDWARDS ST,approaching,1057.98,4060
3,40.699412,-73.912932,GATES AV/WYCKOFF AV,approaching,6653.63,4043
0,40.693423,-73.97749,MYRTLE AV/ST EDWARDS ST,at stop,1157.96,4060
1,40.698775,-73.918665,MYRTLE AV/KNICKERBOCKER AV,at stop,6164.94,3972
