,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,SituationSimpleRef,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
0,44.50179,MTA NYCT_FP_B8-Weekday_C_FP_55680_B54-221,6796.5,2018-04-03,MTA NYCT_FP_B8-Weekday-099800_B54_221,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,0.0,2018-04-03T17:38:06.958-04:00,2018-04-03T17:38:06.958-04:00,MTA_B540062,40.700108,MTA NYCT_B54,-73.911634,True,MTA NYCT,,MTA_308472,at stop,normalProgress,,B54,2018-04-03T17:37:55.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,GATES AV/WYCKOFF AV,MTA_308596,0,MTA NYCT_5205,1
1,357.90625,MTA NYCT_FP_B8-Weekday_C_FP_58440_B54-214,1336.11,2018-04-03,MTA NYCT_FP_B8-Weekday-104600_B54_214,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,3.86,2018-04-03T17:38:06.958-04:00,2018-04-03T17:38:06.958-04:00,MTA_B540062,40.693344,MTA NYCT_B54,-73.975426,True,MTA NYCT,,MTA_308472,at stop,normalProgress,,B54,2018-04-03T17:37:47.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/N PORTLAND AV,MTA_306930,0,MTA NYCT_3974,1
2,186.5744,MTA NYCT_FP_B8-Weekday_C_FP_20760_B54-207,3358.23,2018-04-03,MTA NYCT_FP_B8-Weekday-103400_B54_218,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,7.12,2018-04-03T17:38:06.958-04:00,2018-04-03T17:38:06.958-04:00,MTA_B540070,40.6954,MTA NYCT_B54,-73.949004,True,MTA NYCT,,MTA_505218,at stop,normalProgress,,B54,2018-04-03T17:38:02.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/MARCY AV,MTA_304433,0,MTA NYCT_7286,1
3,6.5569463,,4083.92,2018-04-03,MTA NYCT_FP_B8-Weekday-103000_B54_217,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,24.28,2018-04-03T17:38:06.958-04:00,2018-04-03T17:38:06.958-04:00,MTA_B540062,40.696046,MTA NYCT_B54,-73.943376,True,MTA NYCT,,MTA_308472,at stop,normalProgress,,B54,2018-04-03T17:37:43.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/THROOP AV,MTA_304402,0,MTA NYCT_6520,1
4,185.8395,MTA NYCT_FP_B8-Weekday_C_FP_16680_B54-204,1074.01,2018-04-03,MTA NYCT_FP_B8-Weekday-105000_B54_216,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,34.96,2018-04-03T17:38:06.958-04:00,2018-04-03T17:38:06.958-04:00,MTA_B540070,40.698439,MTA NYCT_B54,-73.921874,True,MTA NYCT,,MTA_505218,approaching,normalProgress,,B54,2018-04-03T17:37:42.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/WILSON AV,MTA_304422,0,MTA NYCT_6503,1
5,46.091908,MTA NYCT_FP_B8-Weekday_C_FP_48300_B26-23,6796.5,2018-04-03,MTA NYCT_FP_B8-Weekday-100600_B54_220,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,49.97,2018-04-03T17:38:06.958-04:00,2018-04-03T17:38:06.958-04:00,MTA_B540062,40.699748,MTA NYCT_B54,-73.91199,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:37:46.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,GATES AV/WYCKOFF AV,MTA_308596,0,MTA NYCT_6516,1
6,87.15338,MTA NYCT_FP_B8-Weekday_C_FP_51900_B54-218,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-100200_B54_223,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,67.56,2018-04-03T17:38:20.502-04:00,2018-04-03T17:38:20.502-04:00,MTA_B540070,40.693884,MTA NYCT_B54,-73.987197,True,MTA NYCT,2018-04-03T17:42:00.000-04:00,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T17:37:50.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6548,1
7,87.15338,MTA NYCT_FP_B8-Weekday_C_FP_25260_B54-211,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-101000_B54_225,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,75.67,2018-04-03T17:38:23.162-04:00,2018-04-03T17:38:23.162-04:00,MTA_B540070,40.693811,MTA NYCT_B54,-73.987201,True,MTA NYCT,2018-04-03T17:50:00.000-04:00,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T17:37:49.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6579,1
8,6.607365,MTA NYCT_FP_B8-Weekday_C_FP_24780_B54-203,2407.03,2018-04-03,MTA NYCT_FP_B8-Weekday-103800_B54_210,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,78.31,2018-04-03T17:38:06.958-04:00,2018-04-03T17:38:06.958-04:00,MTA_B540062,40.693711,MTA NYCT_B54,-73.963675,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:37:33.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/STEUBEN ST,MTA_304393,0,MTA NYCT_7283,1
9,186.65132,MTA NYCT_FP_B8-Weekday_C_FP_26040_B26-16,4136.93,2018-04-03,MTA NYCT_FP_B8-Weekday-102600_B54_213,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,78.39,2018-04-03T17:38:06.211-04:00,2018-04-03T17:38:06.211-04:00,MTA_B540070,40.694445,MTA NYCT_B54,-73.9573,True,MTA NYCT,,MTA_505218,approaching,normalProgress,,B54,2018-04-03T17:37:34.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/FRANKLIN AV,MTA_304437,0,MTA NYCT_7261,1
