,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
0,224.39914,MTA NYCT_FP_B8-Weekday_C_FP_74880_B26-27,0.0,2018-04-03,MTA NYCT_FP_B8-Weekday-126000_B26_27,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,0.0,,,MTA_B540070,40.700381,MTA NYCT_B54,-73.910171,True,MTA NYCT,2018-04-03T21:00:00.000-04:00,MTA_505218,at stop,noProgress,layover,B54,2018-04-03T21:04:06.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_505218,0,MTA NYCT_6568,1
1,6.6119037,MTA NYCT_FP_B8-Weekday_C_FP_17820_B54-205,4748.92,2018-04-03,MTA NYCT_FP_B8-Weekday-123800_B54_222,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,8.17,2018-04-03T21:04:27.667-04:00,2018-04-03T21:04:27.667-04:00,MTA_B540062,40.696966,MTA NYCT_B54,-73.935389,True,MTA NYCT,,MTA_308472,at stop,normalProgress,,B54,2018-04-03T21:04:23.000-04:00,MYRTLE AV/BROADWAY,MTA_304405,0,MTA NYCT_6578,1
2,224.55586,MTA NYCT_FP_B8-Weekday_C_FP_51900_B54-218,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-117400_B54_223,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,16.94,2018-04-03T21:04:28.531-04:00,2018-04-03T21:04:28.531-04:00,MTA_B540062,40.700601,MTA NYCT_B54,-73.909946,True,MTA NYCT,,MTA_308472,at stop,noProgress,layover,B54,2018-04-03T21:04:24.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_6548,1
3,328.07913,MTA NYCT_FP_B8-Weekday_C_FP_25260_B54-211,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-118200_B54_225,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,21.18,2018-04-03T21:04:30.664-04:00,2018-04-03T21:04:30.664-04:00,MTA_B540062,40.700627,MTA NYCT_B54,-73.909969,True,MTA NYCT,,MTA_308472,at stop,noProgress,layover,B54,2018-04-03T21:04:25.000-04:00,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_6579,1
4,46.091908,MTA NYCT_FP_B8-Weekday_C_FP_55680_B54-221,6796.5,2018-04-03,MTA NYCT_FP_B8-Weekday-122800_B54_221,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,41.64,2018-04-03T21:04:29.346-04:00,2018-04-03T21:04:29.346-04:00,MTA_B540062,40.699809,MTA NYCT_B54,-73.911932,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T21:04:17.000-04:00,GATES AV/WYCKOFF AV,MTA_308596,0,MTA NYCT_5205,1
5,87.15338,MTA NYCT_FP_B8-Weekday_C_FP_44700_B52-115,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-121500_B54_224,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,47.58,2018-04-03T21:04:32.460-04:00,2018-04-03T21:04:32.460-04:00,MTA_B540070,40.694064,MTA NYCT_B54,-73.987188,True,MTA NYCT,2018-04-03T21:05:00.000-04:00,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T21:04:16.000-04:00,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6563,1
6,6.4599457,MTA NYCT_FP_B8-Weekday_C_FP_18360_B54-206,3032.05,2018-04-03,MTA NYCT_FP_B8-Weekday-125000_B54_217,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,75.29,2018-04-03T21:04:27.667-04:00,2018-04-03T21:04:27.667-04:00,MTA_B540062,40.694558,MTA NYCT_B54,-73.95631,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T21:03:54.000-04:00,MYRTLE AV/SPENCER ST,MTA_308442,0,MTA NYCT_6520,1
7,224.39914,,171.54,2018-04-03,MTA NYCT_FP_B8-Weekday-126000_B26_27,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,97.55,2018-04-03T21:04:27.667-04:00,2018-04-03T21:04:27.667-04:00,MTA_B540070,40.699855,MTA NYCT_B54,-73.910708,True,MTA NYCT,,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T21:03:54.000-04:00,MYRTLE AV/GATES AV,MTA_308426,0,MTA NYCT_6541,1
8,177.84906,MTA NYCT_FP_B8-Weekday_C_FP_73080_B54-220,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-123000_B54_220,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,152.93,2018-04-03T21:05:10.909-04:00,2018-04-03T21:05:10.909-04:00,MTA_B540070,40.693124,MTA NYCT_B54,-73.987245,True,MTA NYCT,,MTA_505218,< 1 stop away,normalProgress,,B54,2018-04-03T21:04:18.000-04:00,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6516,1
9,186.46767,MTA NYCT_FP_B8-Weekday_C_FP_20760_B54-207,3646.53,2018-04-03,MTA NYCT_FP_B8-Weekday-124500_B54_218,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,243.74,2018-04-03T21:05:12.532-04:00,2018-04-03T21:05:12.532-04:00,MTA_B540070,40.69533,MTA NYCT_B54,-73.94961,True,MTA NYCT,,MTA_505218,< 1 stop away,normalProgress,,B54,2018-04-03T21:04:08.000-04:00,MYRTLE AV/NOSTRAND AV,MTA_304434,0,MTA NYCT_7286,1
